YR,Plot,Strains,MG,PD,Rep,Irr,FinalCFU,LogCFU,AUDPC,LogAUDPC,YldKgHa
2017,116,LS980358,4,1,1,Nonirr,9800.00,3.99,6600.00,3.82,2441.22
2017,117,DT974290,4,1,1,Nonirr,1000.00,3.00,3900.00,3.59,3201.36
2017,118,DT974290,4,1,1,Irr,200.00,2.30,800.00,2.90,3791.20
2017,121,60561331,5,1,1,Nonirr,0.00,0.00,600.00,2.78,1652.20
2017,122,60561331,5,1,1,Irr,0.00,0.00,1100.00,3.04,2329.31
2017,133,6070242,4,1,1,Irr,1000.00,3.00,700.00,2.85,1857.25
2017,134,6070242,4,1,1,Nonirr,400.00,2.60,900.00,2.95,1382.98
2017,137,DS880,5,1,1,Irr,0.00,0.00,700.00,2.85,2698.38
2017,138,DS880,5,1,1,Nonirr,200.00,2.30,900.00,2.95,2291.98
2017,141,Pharaoh,4,1,1,Nonirr,600.00,2.78,2700.00,3.43,1794.76
2017,142,Pharaoh,4,1,1,Irr,200.00,2.30,500.00,2.70,1881.95
2017,203,DS97949,4,1,2,Nonirr,200.00,2.30,300.00,2.48,1523.56
2017,204,DS97949,4,1,2,Irr,200.00,2.30,2700.00,3.43,1962.77
2017,219,LS980358,4,1,2,Nonirr,11800.00,4.07,9200.00,3.96,1780.82
2017,220,LS980358,4,1,2,Irr,4800.00,3.68,3400.00,3.53,2195.10
2017,225,DT974290,4,1,2,Nonirr,800.00,2.90,3300.00,3.52,1750.10
2017,226,DT974290,4,1,2,Irr,200.00,2.30,900.00,2.95,2593.98
2017,229,Pharaoh,4,1,2,Nonirr,4000.00,3.60,3400.00,3.53,2240.46
2017,230,Pharaoh,4,1,2,Irr,200.00,2.30,700.00,2.85,2812.98
2017,231,60561331,5,1,2,Nonirr,0.00,0.00,1000.00,3.00,1213.80
2017,232,60561331,5,1,2,Irr,0.00,0.00,500.00,2.70,1658.61
2017,233,DS880,5,1,2,Nonirr,0.00,0.00,1400.00,3.15,2706.60
2017,234,DS880,5,1,2,Irr,0.00,0.00,400.00,2.60,3613.53
2017,235,60561121,4,1,2,Irr,800.00,2.90,500.00,2.70,2377.50
